Name,Gender,Institution,Category,Subcategory,h-index
Kavin Ammigan,Unknown,Fermi National Accelerator Laboratory,National Lab,,N/A
Alexander Austregesilo,Male,Thomas Jefferson National Accelerator Facility,National Lab,,39
Keith Bechtol,Male,University of Wisconsin-Madison,University,State/Public,N/A
Lauren E. Beckingham,Female,Auburn University,University,Other,18
Timothy Berkelbach,Male,Columbia University,University,Ivy League,41
Peter A. Bosler,Male,Sandia National Laboratories,National Lab,,N/A
Itay Budin,Male,University of California San Diego,University,Other,16
Livia Casali,Female,University of Tennessee-Knoxville,University,Other,19
David Cereceda,Male,Villanova University,University,Other,10
Katerina Chatziioannou,Female,California Institute of Technology,University,Private,72
Yang-Ting Chien,Unknown,Georgia State University,University,Other,24
Christopher J. Dares,Male,Florida International University,University,Other,24
Emily C. Davidson,Female,Princeton University,University,Ivy League,17
John D. Despotopulos,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Johannes Doerfert,Male,Argonne National Laboratory,National Lab,,19
Chunhui Du,Unknown,"University of California, San Diego",University,State/Public,27
Auralee Edelen,Unknown,SLAC National Accelerator Laboratory,National Lab,,20
Sabit Ekin,Male,Oklahoma State University,University,Other,15
Timofey Frolov,Male,Lawrence Livermore National Laboratory,National Lab,,26
Trey E. Gebhart,Male,Oak Ridge National Laboratory,National Lab,,N/A
Emily B. Graham,Female,Pacific Northwest National Laboratory,National Lab,,31
Hanqi Guo,Unknown,Argonne National Laboratory,National Lab,,26
Ryan G. Hadt,Male,California Institute of Technology,University,Private,N/A
K. C. Hammond,Unknown,Princeton Plasma Physics Laboratory,National Lab,,16
Shaun R. Haskey,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A
Dugan Hayes,Male,University of Rhode Island,University,Other,20
Andrew Hearin,Male,Argonne National Laboratory,National Lab,,33
Elizabeth Herndon,Female,Oak Ridge National Laboratory,National Lab,,22
Tova Holmes,Female,University of Tennessee,University,Other,210
Tanzima Z. Islam,Unknown,Texas State University,University,Other,N/A
Benjamin Jorns,Male,University of Michigan,University,State/Public,31
Piran R. Kidambi,Unknown,Vanderbilt University,University,Other,41
Jae Chul Kim,Unknown,Stevens Institute of Technology,Unknown,,26
Anders Knospe,Male,Lehigh University,University,Other,N/A
Boopathy Kombaiah,Unknown,Idaho National Laboratory,National Lab,,17
Noah Kurinsky,Male,SLAC National Laboratory,Unknown,,32
Aeriel D.M. Leonard,Unknown,The Ohio State University,University,State/Public,N/A
Yuzhang Li,Unknown,"University of California, Los Angeles",University,State/Public,48
Chong Liu,Unknown,The University of Chicago,University,Private,86
Lu Lu,Unknown,University of Pennsylvania,University,Ivy League,228
Xiao Luo,Unknown,"University of California, Santa Barbara",University,Other,46
Devin Matthews,Male,Southern Methodist University,University,Other,37
Matteo Mitrano,Male,Harvard University,University,Ivy League,23
Christopher Monahan,Male,William & Mary,Unknown,,18
Atieh Moridi,Unknown,Cornell University,University,Ivy League,21
Andrew Mounce,Male,Sandia National Laboratories,National Lab,,15
Benjamin Nachman,Male,Lawrence Berkeley National Laboratory,National Lab,,197
Aditya G. Nair,Male,"University of Nevada, Reno",University,Other,12
Lisa Olshansky,Female,"University of Illinois, Urbana-Champaign",University,Other,9
Guido Pagano,Male,Rice University,University,Private,25
Chenyun Pan,Unknown,The University of Texas at Arlington,University,Other,15
Pietro Papa Lopes,Male,Argonne National Laboratory,National Lab,,34
Natalie Paquette,Female,University of Washington,University,State/Public,1
Geoffrey Penington,Male,"University of California, Berkeley",University,State/Public,36
Denisia Popolan-Vaida,Female,University of Central Florida,University,Other,20
Timothy Proctor,Male,Sandia National Laboratories,National Lab,,21
Matt Pyle,Male,University of California Berkeley,University,Other,N/A
Krupa Ramasesha,Unknown,Sandia National Laboratories,National Lab,,18
Michael Reppert,Male,Purdue University,University,Other,21
Grant M. Rotskoff,Male,Stanford University,University,Private,25
Michael Schulz,Male,Virginia Polytechnic Institute and State University,University,Other,92
Lorenzo Sironi,Male,Columbia University,University,Ivy League,50
Elizabeth Sooby,Female,University of Texas at San Antonio,University,Other,15
Kelsey A. Stoerzinger,Female,Oregon State University,University,Other,43
Daniel Stolper,Male,"University of California, Berkeley",University,State/Public,28
Brian Summa,Male,Tulane University,University,Other,14
Zhaowen Tang,Unknown,Los Alamos National Laboratory,National Lab,,16
Marlene Turner,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A
Jorge A. Villa,Male,University of Louisiana at Lafayette,University,Other,14
Bess Vlaisavljevich,Female,University of South Dakota,University,Other,32
Yao Wang,Unknown,Clemson University,University,Other,82
Marissa L. Weichman,Female,Princeton University,University,Ivy League,N/A
Antoine Wojdyla,Male,Lawrence Berkeley National,Unknown,,12
Shuolong Yang,Unknown,The University of Chicago,University,Private,19
Mimi C. Yung,Female,Lawrence Livermore National Laboratory,National Lab,,12
Michael Zaletel,Male,"University of California, Berkeley",University,State/Public,51
Zhiyang Zhai,Unknown,Brookhaven National Laboratory,National Lab,,16
Xiao-Xiao Zhang,Unknown,University of Florida,University,State/Public,10
Guannan Zhang,Unknown,Oak Ridge National Laboratory,National Lab,,21
You Zhou,Unknown,University of Maryland,University,Other,142
Yuanyuan Zhu,Unknown,University of Connecticut,University,Other,20
Aleksandr V. Zhukhovitskiy,Male,University of North Carolina at Chapel Hill,University,State/Public,N/A
Gina C. Adam,Female,The George Washington University,University,Other,16
Whitney Armstrong,Male,Argonne National Laboratory,National Lab,,N/A
Miguel Arratia,Male,"University of California, Riverside",University,Other,18
Sayan Biswas,Unknown,University of Minnesota,University,State/Public,13
Steven J Blazewicz,Male,Lawrence Livermore National Laboratory,National Lab,,27
David Cesar,Male,SLAC National Accelerator Laboratory,National Lab,,22
Matthew B. Chambers,Male,Louisiana State University,University,Other,16
Nathaniel Chaney,Male,Duke University,University,Private,25
Xiaoqian Chen,Unknown,Brookhaven National Laboratory,National Lab,,24
Tyler Cocker,Male,Michigan State University,University,Other,20
Stacy M. Copp,Female,"University of California, Irvine",University,Other,N/A
Gavin Cornwell,Male,Pacific Northwest National Laboratory,National Lab,,13
Sneha P. Couvillion,Female,Pacific Northwest National Laboratory,National Lab,,17
Jacob Covey,Male,University of Illinois Urbana-Champaign,University,Other,24
Anil Damle,Male,Cornell University,University,Ivy League,15
Nelson Dzade,Male,Pennsylvania State University,University,Other,35
Gilberto Fernandes Lopes Fabbris,Male,Argonne National Laboratory,National Lab,,N/A
Gianluca Geraci,Male,SLAC National Accelerator Laboratory,National Lab,,17
Julia Gonski,Female,SLAC National Accelerator Laboratory,National Lab,,160
Eduardo Higino da Silva Neto,Male,Yale University,University,Ivy League,N/A
Alisa Javadi,Female,University of Oklahoma,University,Other,21
Dafei Jin,Unknown,University of Notre Dame,University,Other,22
Carlee Joe-Wong,Female,Carnegie Mellon University,University,Other,33
Austin Joyce,Male,University of Chicago,University,Private,32
Alvine Kamaha,Female,"University of California, Los Angeles (UCLA)",University,State/Public,18
Shaina Kelly,Female,Columbia University,University,Ivy League,13
Itamar Kimchi,Male,Georgia Institute of Technology,Unknown,,28
Lydia Kisley,Female,Case Western Reserve University,University,Other,20
Marek Kolmer,Male,Ames National Laboratory,National Lab,,22
Stephen Lam,Male,University of Massachusetts Lowell,University,Other,15
Amanda Lietz,Female,North Carolina State University,University,Other,13
Fang Liu,Unknown,Emory University,University,Private,131
Shusen Liu,Unknown,Lawrence Livermore National Laboratory,National Lab,,19
Whitney Loo,Male,University of Wisconsin-Madison,University,State/Public,23
Matthew Loyd,Male,Oak Ridge National Laboratory,National Lab,,34
Yunqiu Kelly Luo,Unknown,University of Southern California,University,Private,12
David Martinez Caicedo,Male,South Dakota School of Mines and Technology,Unknown,,N/A
Liane M. Moreau,Female,Washington State University,University,Other,N/A
Ian Moult,Male,Yale University,University,Ivy League,N/A
Lukas Muechler,Male,Penn State University,University,Other,29
Andy Nguyen,Male,"Elise Novitski, Assistant Professor",Unknown,,17
Kevin Pedro,Male,Fermi National Accelerator Laboratory,National Lab,,35
Bo Peng,Male,Pacific Northwest National Laboratory,National Lab,,27
Jennifer Louise Pore,Female,Lawrence Berkeley National Laboratory,National Lab,,N/A
Wei Qin,Unknown,University of Oklahoma,University,Other,49
Lina Quan,Female,Virginia Polytechnic Institute and State University,University,Other,43
Dylan Rankin,Male,University of Pennsylvania,University,Ivy League,N/A
Alex J. Rinehart,Male,New Mexico Tech,Unknown,,N/A
Sourabh K. Saha,Unknown,Georgia Institute of Technology,Unknown,,N/A
Thomas Scaffidi,Male,"University of California, Irvine",University,Other,25
Daniel Schwalbe-Koda,Male,"University of California, Los Angeles",University,State/Public,18
Filippo Scotti,Male,Lawrence Livermore National Laboratory,National Lab,,25
S. Eileen Seo,Unknown,Arizona State University,University,Other,13
Kyle Seyler,Female,The University of Arizona,University,Other,25
Sara Shamekh,Female,New York University,University,Private,7
Yu-Tsun Shao,Unknown,University of Southern California,University,Private,24
Philip Shushkov,Male,Indiana University,University,Other,14
Jennifer Shusterman,Female,Lawrence Livermore National Laboratory,National Lab,,11
Marien Simeni Simeni,Male,University of Minnesota,University,State/Public,13
Craig Snoeyink,Male,University of Buffalo,University,Other,9
Ioannis Spanopoulos,Male,University of South Florida,University,Other,45
Allison H. Squires,Female,The University of Chicago,University,Private,14
Xiao Su,Unknown,University of Illinois at Urbana-Champaign,University,State/Public,160
Carolin M. Sutter-Fella,Female,Lawrence Berkeley National Laboratory,National Lab,,37
Thi Vo,Female,Johns Hopkins University,University,Private,50
Kyle Wendt,Female,Lawrence Livermore National Laboratory,National Lab,,N/A
Shawn Westerdale,Male,"University of California, Riverside",University,Other,35
Lea R. Winter,Female,Yale University,University,Ivy League,N/A
Mitchell A. Wood,Male,Sandia National Laboratories,National Lab,,19
W.L. Kimmy Wu,Unknown,SLAC National Accelerator Laboratory,National Lab,,42
Yang Yang,Unknown,"University of California, Santa Barbra",University,Other,295
Mingwei Zhang,Unknown,"University of California, Davis",University,Other,13
Ben Zhu,Male,Lawrence Livermore National Laboratory,National Lab,,111
Cristal Zuniga,Female,San Diego State University,University,Other,23
Hussein Aluie,Male,University of Rochester,University,Other,27
Luca Argenti,Male,University of Central Florida,University,Other,29
Veronica Augustyn,Female,North Carolina State University,University,Other,32
Kristin Burnum-Johnson,Female,Pacific Northwest National Laboratory,National Lab,,43
Viviana Cavaliere,Female,Brookhaven National Laboratory (BNL),National Lab,,N/A
Lan Cheng,Unknown,Johns Hopkins University,University,Private,95
Miaofang Chi,Unknown,Oak Ridge National Laboratory (ORNL),National Lab,,95
Robert Coridan,Male,University of Arkansas,University,Other,18
Scott Cushing,Male,California Institute of Technology,University,Private,37
Shudipto Konika Dishari,Unknown,University of Nebraska-Lincoln,University,Other,12
Thomas Dumitrescu,Male,"University of California, Los Angeles",University,State/Public,24
Cora Dvorkin,Female,Harvard University,University,Ivy League,53
Tim Eifler,Male,University of Arizona,University,Other,88
David Flaherty,Male,University of Illinois,University,Other,43
Greeshma Gadikota,Unknown,Cornell University*,University,Ivy League,25
Diana Gamzina,Female,SLAC National Accelerator Laboratory,National Lab,,21
Arianna Gleason,Female,SLAC National Accelerator Laboratory,National Lab,,28
Sowjanya Gollapinni,Unknown,University of Tennessee,University,Other,N/A
Karl D. Hammond,Male,University of Missouri,University,Other,27
Scott Hertel,Male,"University of Massachusetts, Amherst",University,Other,51
Jier Huang,Unknown,Marquette University,University,Other,41
Stratos Idreos,Male,Harvard University,University,Ivy League,42
Laura Jeanty,Female,University of Oregon,University,Other,N/A
M. Benjamin Jungfleisch,Unknown,University of Delaware,University,Other,36
Jyoti Katoch,Female,Carnegie Mellon University,University,Other,20
Kibaek Kim,Unknown,Argonne National Laboratory (ANL),National Lab,,15
Elisabeth Krause,Female,University of Arizona,University,Other,80
Isaac J. Larsen,Male,University of Massachusetts – Amherst,University,Other,N/A
David T. Limmer,Male,"University of California, Berkeley",University,State/Public,38
Lucas Lindsay,Male,Oak Ridge National Laboratory (ORNL),National Lab,,49
Cara Lubner,Female,National Renewable Energy Laboratory (NREL),National Lab,,N/A
Joseph M. Lukens,Male,Oak Ridge National Laboratory (ORNL),National Lab,,26
Pedro Machado,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,63
Vladimir Manucharyan,Male,University of Maryland,University,Other,N/A
Jared Maxson,Male,Cornell University,University,Ivy League,28
Ryan McBride,Male,University of Michigan,University,State/Public,35
Josh Michener,Male,Oak Ridge National Laboratory,National Lab,,18
Kathryn Mohror,Female,Lawrence Livermore National Laboratory,National Lab,,29
Brad Ramshaw,Male,Cornell University,University,Ivy League,37
Cindy Rubio Gonzalez,Female,"University of California, Davis",University,Other,20
Ashkan Salamat,Unknown,University of Nevada,University,Other,26
Catherine Schuman,Female,Oak Ridge National Laboratory (ORNL),National Lab,,33
Michael D. Shields,Male,Johns Hopkins University,University,Private,29
Kevin Solomon,Male,Purdue University,University,Other,22
Peter Sorensen,Male,Lawrence Berkeley National Laboratory,National Lab,,74
James Stegen,Male,Pacific Northwest National Laboratory,National Lab,,50
Timothy Stoltzfus-Dueck,Male,Princeton Plasma Physics Laboratory,National Lab,,N/A
Elijah Thimsen,Male,Washington University,University,Other,28
Jeff Thompson,Male,Princeton University,University,Ivy League,31
Ian A. Tonks,Male,University of Minnesota,University,State/Public,28
Nhan V. Tran,Male,Fermi National Accelerator Laboratory (FNAL),National Lab,,10
Ahmet Uysal,Male,Argonne National Laboratory (ANL),National Lab,,21
Charuleka Varadharajan,Unknown,Lawrence Berkeley National Laboratory,National Lab,,26
David Vinyard,Male,Louisiana State University and A&M College,University,Other,31
Bin Wang,Unknown,University of Oklahoma,University,Other,162
Yangyang Wang,Unknown,Oak Ridge National Laboratory,National Lab,,37
Sarah J. Watzman,Female,University of Cincinnati,University,Other,N/A
Janelle P. Wharry,Female,Purdue University,University,Other,N/A
Jingke Xu,Unknown,Lawrence Livermore National Laboratory,National Lab,,54
Xingchen Xu,Unknown,Fermi National Accelerator Laboratory (FNAL),National Lab,,4
Qimin Yan,Unknown,Temple University,University,Other,41
Andriy Zakutayev,Male,National Renewable Energy Laboratory (NREL),National Lab,,59
Ilija Zeljkovic,Male,Boston College,University,Other,27
Kandis Leslie Gilliard-Abdul Aziz,Unknown,"University of California, Riverside",University,Other,N/A
Philip Adsley,Male,Texas A&M University,University,Other,18
Chibueze Amanchukwu,Unknown,The University of Chicago,University,Private,20
Bahar Asgari,Female,"University of Maryland, College Park",University,State/Public,13
Sam Barber,Male,Lawrence Berkeley National Laboratory,National Lab,,23
Mathew R. Becker,Male,Argonne National Laboratory,National Lab,,N/A
Julie Bessac,Female,Statistician National Renewable Energy,Unknown,,12
Christian Boutan,Male,Pacific Northwest National Laboratory,National Lab,,13
Mathew Brahlek,Male,Oak Ridge National Laboratory,National Lab,,N/A
James Daniel Brandenburg,Male,Ohio State University,University,State/Public,54
Jennifer Brophy,Female,"Stanford, CA",Unknown,,14
Elizabeth Brost,Female,Brookhaven National,Unknown,,N/A
Lucas Brouwer,Male,Lawrence Berkeley National Laboratory,National Lab,,20
Steven Brus,Male,Argonne National Laboratory,National Lab,,38
Jonathan D. Burns,Male,University of Alabama at Birmingham,University,Other,13
John F. Cahill,Male,Oak Ridge National Laboratory,National Lab,,19
Yue Cao,Unknown,Argonne National Laboratory,National Lab,,50
Lane Carasik,Male,"University Richmond, Virginia",University,Other,5
Korey P. Carter,Male,University of Iowa,University,Other,N/A
Daniel Casey,Male,Lawrence Livermore National Laboratory (LLNL),National Lab,,29
Tirthankar Chakraborty,Unknown,Atmospheric Sciences and Global Change,Unknown,,21
Fanglin Che,Unknown,University of Massachusetts Lowell,University,Other,28
Martin Claassen,Male,Astronomy University of Pennsylvania,University,Ivy League,24
Kensha Marie Clark,Unknown,University of Mississippi,University,Other,N/A
Laura de Sousa Oliveira,Female,University of Wyoming,University,Other,9
Gauthier J.-P. Deblonde,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Maria Laura di Vacri,Female,Pacific Northwest National Laboratory,National Lab,,N/A
Leah G. Dodson,Female,Biochemistry University of Maryland,University,Other,9
Dong,Unknown,"University of Oklahoma,",University,Other,222
Chuanfei Dong,Unknown,Boston University,University,Other,39
Leora Dresselhaus-Marais,Female,Stanford University,University,Private,12
Vinicius Duarte,Male,Princeton Plasma Physics Laboratory,National Lab,,21
Guillaume Duclos,Male,Physics Brandeis University,University,Other,16
Eugene Dumitrescu,Male,Computational Science and Engineering,Unknown,,21
Raghav Kunnawalkam Elayavalli,Unknown,Vanderbilt University,University,Other,N/A
Claudio Emma,Male,Advanced Accelerator Research,Unknown,,19
Guillermo Fernandez Moroni,Male,Fermi National Accelerator Laboratory,National Lab,,N/A
Rich Fiorella,Male,Los Alamos National Laboratory,National Lab,,14
Holly B. Flynn,Female,Savannah River National,Unknown,,N/A
Fereshte Ghahari Kermani,Unknown,George Mason University,University,Other,N/A
Nikolay Golubev,Male,University of Arizona,University,Other,14
Laura Gunn,Female,"School of Integrative Plant Sciences, Plant Biology",Unknown,,21
Shabnam Hematian,Unknown,University of North Carolina at Greensboro,University,Other,10
Robert Hovden,Male,University of Michigan,University,State/Public,44
Ezio Iacocca,Male,Science University of Colorado Colorado,University,Other,29
Lise-Marie Imbert-Gerard,Unknown,"Arizona Board of Regents, University of Arizona",University,Other,10
Nicholas Jackson,Male,"University of Illinois, Urbana-Champaign",University,Other,40
Jing Li,Unknown,New Jersey Institute of,Unknown,,117
Julia Kalow,Female,Chemistry Northwestern,Unknown,,27
Brendan Keith,Male,Brown University,University,Ivy League,29
Takaaki Koyanagi,Male,Oak Ridge National Laboratory,National Lab,,35
Benjamin A. Legg,Male,Pacific Northwest National Laboratory,National Lab,,18
Wenjing Liao,Unknown,Georgia Institute of Technology,Unknown,,18
Kun Liu,Unknown,Los Alamos National Laboratory (LANL),National Lab,,156
Andrey Lokhov,Male,Los Alamos National Laboratory,National Lab,,19
Dan Lu,Male,Oak Ridge National Laboratory,National Lab,,86
Niall Mangan,Male,Mathematics Northwestern University,University,Private,19
Chris Marshall,Male,University of Rochester,University,Other,60
C. Michael McGuirk,Unknown,Mines,Unknown,,20
James McIver,Male,Physics Columbia University,University,Ivy League,18
Bernhard Mistlberger,Male,SLAC National Accelerator Laboratory,National Lab,,37
Julia Moriarty,Female,University of Colorado Boulder,University,Other,11
Johanna Nelson Weker,Female,Lightsource SLAC National Accelerator,Unknown,,37
Hyunseok Oh,Unknown,University of Wisconsin-Madison,University,State/Public,20
Elizabeth Paul,Female,Columbia University,University,Ivy League,15
Adam Printz,Male,University of Arizona,University,Other,26
Jin Qian,Female,Lawrence Berkeley National Laboratory,National Lab,,34
Felix Ringer,Male,Old Dominion University,University,Other,37
Annette Rowe,Female,"Cincinnati Cincinnati,",Unknown,,21
Derek Schaeffer,Male,"Astronomy University of California, Los",University,Other,20
Arunima Singh,Unknown,Arizona State University,University,Other,24
Hillary Smith,Female,Astronomy Swarthmore College,University,Other,35
Erin Stache,Female,Princeton University,University,Ivy League,12
Mathew A. Steiner,Male,Engineering University of Cincinnati,University,Other,13
Esther Tsai,Female,"Laboratory Upton, NY",Unknown,,20
Omar Valsson,Male,University of North Texas,University,Other,21
Ying Wang,Unknown,University of Wisconsin-Madison,University,State/Public,78
Cory Windorff,Male,Biochemistry New Mexico State University,University,Other,19
Derong Xu,Unknown,Brookhaven National Laboratory,National Lab,,12
Da Yan,Unknown,University of Alabama at,University,Other,282
Joanna M Zajac,Female,Brookhaven National Laboratory,National Lab,,10
Yu Zhang,Unknown,Los Alamos National Laboratory,National Lab,,109
Youtong Zheng,Unknown,"Boston College,",University,Other,18
Brian Zhou,Male,"Boston College,",University,Other,16
Silvia Zorzeti,Female,Fermi National Accelerator Laboratory,National Lab,,11
Michael Zuerch,Male,"University of California, Berkeley",University,State/Public,112
Daniel Bardayan,Male,Oak Ridge National Laboratory,National Lab,,38
Christian Bauer,Male,Lawrence Berkeley National Laboratory,National Lab,,50
Ivan Bazarov,Male,Cornell University,University,Ivy League,37
Philip Bingham,Male,Oak Ridge National Laboratory,National Lab,,17
Stanislav Boldyrev,Male,University of Wisconsin,University,Other,N/A
Grigory Bronevetsky,Male,Lawrence Livermore National Laboratory,National Lab,,N/A
Martin Centurion,Male,University of Nebraska,University,Other,32
Patrick Yin Chiang,Male,Oregon State University,University,Other,N/A
Luisa Chiesa,Female,Miami University,University,Other,22
Samantha Daly,Female,University of Michigan,University,State/Public,16
Yuantao Ding,Unknown,SLAC National Accelerator Laboratory,National Lab,,N/A
David Erickson,Male,Cornell University,University,Ivy League,68
Amir Farbin,Male,"University of Texas, Arlington",University,Other,N/A
Daniel Fredrickson,Male,University of Wisconsin,University,Other,28
Andrew Gaunt,Male,Los Alamos National Laboratory,National Lab,,N/A
Adrian Gozar,Male,Brookhaven National Laboratory,National Lab,,25
William Gustafson,Male,Pacific Northwest National Laboratory,National Lab,,35
Valerie Halyo,Female,University of Colorado,University,Other,N/A
Michael Hermele,Male,University of Colorado,University,Other,37
